発話者名	発話開始時間	発話終了時間	書き起こしテキスト
オペレーター	00:01.71	00:02.97	はい。こんにちは。
カスタマー	00:03.37	00:03.73	こんにちは。
オペレーター	00:04.11	00:07.75	はい。では本日はご旅行の相談ということでよろしいでしょうか。
カスタマー	00:08.24	00:08.51	はい。
オペレーター	00:08.97	00:10.26	はいかしこまりました。
オペレーター	00:11.73	00:16.17	えっと今回のご旅行は行く先とかはもう決まってらっしゃるんですか？
カスタマー	00:16.62	00:20.88	いえ、あの特に決めてないんですが希望がありましてですね。
オペレーター	00:20.88	00:21.66	ええええ。
カスタマー	00:21.93	00:28.84	えー、まぁ久しぶりに娘と、まぁ孫ができたもんで。
オペレーター	00:29.28	00:29.95	はいはい。
カスタマー	00:30.35	00:36.57	ちょっと、なんーあの、どっか旅行で気分転換したいなと思ってまして。
オペレーター	00:36.57	00:37.35	ええええ。
カスタマー	00:37.35	00:41.40	えー娘が和菓子が大好きなもんですから。
オペレーター	00:41.40	00:41.95	なるほど。
カスタマー	00:41.95	00:51.08	もう、えー私の楽しみよりもその娘の息抜きを最優先に和菓子の。
オペレーター	00:51.08	00:51.97	和菓子。
カスタマー	00:51.97	00:53.40	美味しいところ。
オペレーター	00:54.46	00:55.20	なるほど。
オペレーター	00:55.86	00:56.91	和菓子の美味しい。
カスタマー	00:56.91	00:58.71	食べ歩きしたいな。
オペレーター	00:59.08	00:59.97	なるほど。なるほど。
カスタマー	01:01.66	01:04.71	娘の一番の好物が。
オペレーター	01:05.44	01:05.86	はい。
カスタマー	01:06.15	01:09.40	栗栗きんとん。ですね。はい。
オペレーター	01:07.64	01:10.51	栗きんとん。なるほど。なるほど。
オペレーター	01:11.31	01:15.97	じゃあちょっとこう喫茶甘味みたいな感じで検索いたしますね。
オペレーター	01:17.60	01:20.82	え特にえっと和菓子がいいんですよね。
カスタマー	01:21.24	01:21.88	そうですね。
オペレーター	01:27.35	01:32.42	そうですね、たとえば、とくに今エリア指定してないんですけど。
カスタマー	01:32.42	01:32.64	はい。
オペレーター	01:33.40	01:37.17	栗きんとん的な場所はあるのかな。んん。
オペレーター	01:44.02	01:49.35	あ今いくつか、ざっくりとしたアレですので。
カスタマー	01:49.82	01:50.08	はい。
オペレーター	01:50.75	01:56.37	389件見つかってま、一応じゃあ栗きんとんって入れて調べてみますね。
カスタマー	01:56.37	01:57.20	そう、そうですね。
オペレーター	02:01.53	02:06.35	あっ一応栗きんとんで検索すると全国で5件ヒットしております。
カスタマー	02:06.46	02:07.02	5件。
オペレーター	02:08.15	02:09.91	結構少ないですね意外と。
カスタマー	02:09.91	02:10.33	うん。
カスタマー	02:11.40	02:14.00	た、高いんだよね栗きんとんというのは。
オペレーター	02:13.17	02:14.57	ええええ。
オペレーター	02:15.80	02:21.86	まず。そうですねこちら長野県<>
カスタマー	02:16.02	02:21.86	長野ですね。<>
カスタマー	02:22.24	02:24.04	もうもう本場ですね。
オペレーター	02:24.84	02:25.93	そうですね。
オペレーター	02:26.71	02:35.95	こちらが、自家製の和菓子が評判のお茶どころ、えー、抹茶と蕎麦饅頭のセットは560円栗きんとんのセット650円。
カスタマー	02:35.95	02:36.37	あぁ。
オペレーター	02:37.06	02:43.04	えー、わき清水を使ったコーヒー栗羊羹のセットも400円。
オペレーター	02:44.60	02:50.86	このほか手作りのところてんところてん500円もあってお持ち帰りおはそばまんじゅう栗きんとん。
オペレーター	02:51.57	02:55.44	あっお持ち帰りもできてこちらでいただくこともできるお店。
カスタマー	02:56.88	02:58.04	これいいですね。
オペレーター	02:58.04	02:59.42	これすごいいいですね。
カスタマー	02:59.64	03:00.06	はい。
オペレーター	03:00.80	03:01.66	一応他…。
カスタマー	03:01.66	03:03.48	他にはどこらが有名でしょうかね。
オペレーター	03:03.88	03:08.97	他もやっぱりこの二つ目のさぼうえびや、こちらも長野県ですね。
カスタマー	03:08.97	03:11.22	やっぱり長野かなあ、岐阜か長野。
オペレーター	03:11.46	03:15.06	そうですね。岐阜の方でもございます岐阜の方ちょっと見てみますか？
カスタマー	03:15.33	03:15.68	はい。
オペレーター	03:16.82	03:21.37	まずこう写真があってイメージしやすいかなと思いまさぼうかの。
カスタマー	03:22.00	03:22.22	はい。
オペレーター	03:22.42	03:27.66	こちらが岐阜県の、えーカフェというか、ええ、ええ。
カスタマー	03:25.64	03:27.06	<>
オペレーター	03:29.64	03:36.80	えー豊富な、に取り揃えるえー、ばりゅうかん。<>
カスタマー	03:36.28	03:40.55	ま、まご、まごめ、まごめと、思いますねはい。
オペレーター	03:37.99	03:39.26	あ、まごめ。
オペレーター	03:41.46	03:54.64	失礼しました。馬籠間にある喫茶店。中津川の銘菓栗きんとんと抹茶が楽しめるお抹茶セットや、えー馬篭の水のおいしさが実感できるコーヒー400円がおすすめ。
カスタマー	03:54.64	03:54.88	うん。
カスタマー	03:55.44	03:55.91	うん。
オペレーター	03:55.91	04:02.22	このほかに懐かしのナポリタンや野菜を細く刻んで煮込むカレーなどもあるみたいですねこういう。
オペレーター	04:03.00	04:05.02	野菜カレーみたいなもんですかね。
オペレーター	04:06.82	04:12.24	今のところそうですね岐阜と長野かって感じになってきました。
カスタマー	04:12.93	04:14.28	ああ。岐阜と長野か。
オペレーター	04:15.06	04:17.40	この二つどちらがよろしいですか？
カスタマー	04:17.40	04:25.06	そうですね、あのー。孫はですねうまれたてで。スイーツは食べないんですけど。
オペレーター	04:25.06	04:25.93	えええ。
カスタマー	04:26.04	04:30.68	あの、まぁ一緒に連れて行かないといけないもんですから。
カスタマー	04:31.80	04:35.06	やっぱりアクセスが楽な方がいいですね。
オペレーター	04:35.37	04:36.08	なるほど。
カスタマー	04:36.46	04:36.75	うん。
カスタマー	04:37.26	04:48.93	とするとあれかな東海道新幹線で、名古屋行ってそっから岐阜行った方が、そうかな。
オペレーター	04:47.35	04:51.86	あー、ええ。お住いはどちら。
カスタマー	04:51.22	04:54.37	あの、な、長野はなにしに、何市でしたっけさっきの。
オペレーター	04:54.37	05:00.17	長野はえーとですね、長野県木曾郡。
カスタマー	04:59.60	05:06.00	あのきそきそか。あーじゃあもうちょっとあれだな。新幹線とかだとよっぽど遠い。
オペレーター	05:06.57	05:10.91	そうですねかなり奥地というか。
カスタマー	05:10.91	05:14.08	そうですねちょっとアクセス悪いですね。
オペレーター	05:14.33	05:18.22	地図で言ってもこの辺ですかね
オペレーター	05:19.04	05:21.97	では岐阜県の方向で考えてみましょうか。
カスタマー	05:21.60	05:23.11	はい岐阜ではいそうですね。
オペレーター	05:23.93	05:29.11	はい。岐阜で一旦絞りますと。
カスタマー	05:29.11	05:29.35	はい。
オペレーター	05:34.00	05:35.86	そうですねえっとこちら3つ。
カスタマー	05:35.86	05:36.82	先ほどの3つですね。
オペレーター	05:36.82	05:44.28	先ほどの店と、ちょ写真がないんですけども2件一応出てますけどこちらも一応見てみますか？
カスタマー	05:45.02	05:45.33	はい。
オペレーター	05:47.04	06:04.44	まず一つ目が甘味どころかや、ですねこちらが中津川インターチェンジに近いところにある茶屋でして、店内からは、えー山と日本庭園が眺めることができますね。
オペレーター	06:05.71	06:16.22	ぜんざいあんみつなどがいただけるようでえー栗の時期だけに販売するすやの栗きんとんの、を使った栗しるこ。
カスタマー	06:16.84	06:17.04	うん。
オペレーター	06:17.77	06:19.13	なんかもあるみたいですね。
カスタマー	06:19.13	06:23.73	あーこの栗の季節だけっていうのがまたいいですね。
オペレーター	06:23.73	06:24.17	そうですね。
カスタマー	06:24.17	06:30.22	うん年中食べられないのを栗の季節だけに行って食べるというぜいたく感。
オペレーター	06:28.24	06:28.84	ええええ。
オペレーター	06:32.00	06:33.82	こちらもなかなか良さそうですね。
カスタマー	06:33.82	06:38.66	そうそうですね写真ないけどちょっとこの言葉にグラッときます。はい。
オペレーター	06:39.08	06:40.06	残念ですが。
カスタマー	06:40.48	06:40.84	うん。
オペレーター	06:42.28	06:44.42	一応もう一個が。
