発話者名    発話開始時間    発話終了時間    書き起こしテキスト
オペレータ  00:01.62	00:04.73	こんにちは、ご利用いただきましてありがとうございます。
カスタマー	00:05.62	00:08.50	こちらこそありがとうございます、よろしくお願いします。
オペレータ	00:08.80	00:10.00	よろしくお願いいたします。
オペレータ	00:10.38	00:14.18	お客様本日は、ご旅行のご相談で、よろしいでしょうか？
カスタマー	00:14.82	00:16.32	はい、その通りです。
オペレータ	00:16.70	00:17.62	かしこまりました。
オペレータ	00:17.70	00:21.25	お客様、ご旅行なさる、場所は、どちらになりますでしょうか？
カスタマー	00:22.30	00:25.80	えー、北陸地方、に、行きたいと思っています。
オペレータ	00:24.20	00:24.42	ええ。
オペレータ	00:26.50	00:27.32	かしこまりました。
オペレータ	00:27.60	00:32.15	北陸の、どちらの県が、よろしいか、もうお決まりですか？
カスタマー	00:33.57	00:38.30	えー、石川県、金沢があるのは石川県ですかねえ？
オペレータ	00:38.30	00:39.55	ええ、さようでございます。
カスタマー	00:40.03	00:44.38	じゃ、富山県、あたりの、も、考えています。
オペレータ	00:42.32	00:42.52	ええ。
オペレータ	00:44.80	00:52.20	かしこまりました。では、行き先は、石川、あるいは、富山、あたり、ということで、おまちがいないでしょうか？
カスタマー	00:52.43	00:52.68	はい。
オペレータ	00:53.20	00:54.12	かしこまりました。
オペレータ	00:54.58	00:58.00	ではお客様、ご旅行なさる時期はいつになりますでしょうか。
カスタマー	00:58.82	01:07.50	時期は夏、ですけどもー、初夏、あー、５月、６月あたりがいいですが。
オペレータ	01:01.05	01:01.25	ええ。
オペレータ	01:02.45	01:02.61	ええ。
オペレータ	01:05.79	01:05.90	ええ。
オペレータ	01:08.11	01:09.05	かしこまりました。
オペレータ	01:09.37	01:15.65	ではご旅行なさる時期は、初夏の５月から６月頃ということで、承ります。
カスタマー	01:16.08	01:16.22	はい。
オペレータ	01:16.95	01:20.90	ではお客様こちら、ご旅行なさるのは何名様になりますでしょうか？
カスタマー	01:21.30	01:23.90	えー旅行の人数は５人です。
オペレータ	01:24.35	01:25.75	５名様でございますね。
カスタマー	01:25.70	01:26.00	はい。
オペレータ	01:26.05	01:28.30	こちらご家族でのご旅行でしょうか。
カスタマー	01:28.90	01:30.00	いえー、違います。
オペレータ	01:30.38	01:30.40	あ。
カスタマー	01:30.60	01:41.05	えー、学生時代の、部活ーで一緒だった、仲間たちの、５人で、えー、男性ばかり５人で、旅行しようと思っています。
オペレータ	01:32.17	01:32.25	ええ。
オペレータ	01:34.20	01:34.48	ええ。
オペレータ	01:39.00	01:39.20	はい。
オペレータ	01:41.47	01:46.55	では、同世代の、えお友達の方、５名様ということでございますね。
カスタマー	01:47.31	02:16.12	それでですね、その５名なんですが、あ、ずーっと大学を卒業してから、毎年一回会うようにしてましてー、でー、１年にいっぺん、え都内で、ま、食事会飲み会をして、おりまして、えー、今回初めて、ちょっと旅行を、えー、ええとこへ行って一泊しようじゃないか、という話になりまして、それで、ご相談に、伺ったんですけれども。
オペレータ	01:48.42	01:48.58	ええ。
オペレータ	01:50.55	01:50.72	ええ。
オペレータ	01:54.07	01:54.17	はい。
オペレータ	01:56.27	01:56.70	ええー。
オペレータ	02:04.07	02:04.24	はい。
オペレータ	02:07.85	02:08.05	ええ。
オペレータ	02:12.48	02:12.72	ええ。
カスタマー	02:13.02	02:16.12	それで、ご相談に、伺ったんですけれども。
オペレータ	02:16.62	02:26.90	さようでございますか。それでは、今回初めての、５名様皆様でのご旅行ということで、あの是非あの楽しいプランを、ご提案させていただければと思います。
カスタマー	02:27.40	02:28.70	よろしくお願いします。
オペレータ	02:28.92	02:30.14	よろしくお願いいたします。
オペレータ	02:30.77	02:40.90	では、こちら５名様で、何かなさる、となりますと、どうでしょうか、皆様、結構アクティブな、方々が、多いですか？
オペレータ	02:40.91	02:49.20	それとも、何か、博物館とか、美術館とか、そういった文化系の内容で、お楽しみいただくのがよろしいでしょうか？
カスタマー	02:50.05	03:06.96	えー、５人、それぞれいろいろアクティブな者も、そうでない者もいるんですが、えー、できたら、あの、えー、アクティブなことよりは、静か、 えー、体力あまり使わないで済むようなことで、やりたいと思っております。
オペレータ	02:54.02	02:54.20	ええ。
オペレータ	02:55.47	02:55.65	ええ。
オペレータ	02:57.64	02:57.72	ええ。
オペレータ	03:00.75	03:00.82	はい。
オペレータ	03:02.92	03:03.05	はい。
オペレータ	03:07.68	03:08.62	かしこまりました。
オペレータ	03:08.92	03:21.28	では、こちらですねえ、何か、見る、何か、活動するというよりも、見る方を中心とした、プランを、ご提案いたしますので、よろしくお願いいたします。
カスタマー	03:21.41	03:23.82	はい、その方がいいです、よろしくお願いします。
オペレータ	03:24.21	03:24.38	はい。
オペレータ	03:24.86	03:25.90	ありがとうございます。
オペレータ	03:26.45	03:37.26	それでは、いかがでしょうか。例えば、神社仏閣等、おめぐりになるのとかー、あるいは、古い、建物、ですねー。
オペレータ	03:37.64	03:41.90	ご覧になるとか、あるいは、公園、ですね。
オペレータ	03:42.46	03:47.59	えーそういったものをご覧になるとか、例えば、金沢だと、兼六園とかございますよね。
カスタマー	03:48.28	03:50.23	有名な、兼六園ですね。
オペレータ	03:50.37	03:51.26	さようでございます。
オペレータ	03:51.68	04:02.38	そういったところをご覧になるのが良いかー、あるいは、美術館博物館系、そういったもの、多々ございまして、いかがいたしましょう。
オペレータ	04:02.46	04:11.52	例えば私が先ほど申し上げました、兼六園とかは、こちらあの、金沢と、いえば、といったような場所でございますよね。
カスタマー	04:11.82	04:12.11	はい。
オペレータ	04:12.57	04:19.51	こういった場所をまずは例えばひとつ入れておくとか、お客様、どのように、お考えになりますか？
カスタマー	04:21.26	04:32.91	えー、<>有名な、私まだ行ったことないんですが、えー、５人で、まわりながら、談笑しながら、うー、まわれる、気がしますので、それはプランに入れたいと思います。
オペレータ	04:25.21	04:25.21	ええ。
オペレータ	04:30.77	04:30.93	ええ。
オペレータ	04:33.45	04:34.60	ありがとうございます。
オペレータ	04:34.95	04:39.06	こちら、初夏ですと、かきつばたが咲いているようです。
カスタマー	04:39.44	04:40.46	あー、はい。
オペレータ	04:40.84	04:53.28	ですので、あの時期的にもですね、ちょうど自然をお楽しみになれる公園ということで、ちょうどよろしいかと思いますので、こちら、はい、行き先のリストに加えさせていただいてもよろしいでしょうか？
カスタマー	04:49.42	04:49.45	はい。
カスタマー	04:53.78	04:55.17	はい、お願いします。
オペレータ	04:55.54	04:56.55	ありがとうございます。
オペレータ	04:56.85	04:58.34	では兼六園でございますね。
オペレータ	04:58.84	05:05.77	こちらですね、開園しているお時間が、朝の７時から、夕方の６時までとなっております。
オペレータ	05:06.80	05:11.26	こちらでは、後観光なさるの、午前と午後、どちらがよろしいですか？
カスタマー	05:13.04	05:17.33	そうですね、午前中ー<>ってみたいと思います。
オペレータ	05:15.32	05:15.50	ええ。
オペレータ	05:17.68	05:18.23	そうですね。
オペレータ	05:18.54	05:24.13	ちょうどあの、気温的にも涼しいお時間かと思いますので、ちょうどよろしいかと思います。
カスタマー	05:24.61	05:24.80	はい。
オペレータ	05:24.81	05:30.96	午前ちゅ、はい、では午前中、兼六園に行かれまして、お昼ご飯、いかがなさいますか？
カスタマー	05:32.31	05:37.72	えー、お昼ご飯、金沢、市内、ということですね？
オペレータ	05:35.14	05:35.33	ええ。
オペレータ	05:38.33	05:46.97	はい、こちら、兼六園金沢市内でございますので、おそらく、お昼ご飯も金沢市内ですと、その後が、便利かと思います。
カスタマー	05:47.56	05:51.17	何かお昼ご飯で、おすすめっていうのは、ありますでしょうか。
オペレータ	05:49.25	05:49.35	ええ。
オペレータ	05:51.95	05:52.06	はい。
オペレータ	05:52.57	05:57.18	えー、お客様、やはり、金沢らしい、郷土料理がよろしいでしょうか？
オペレータ	05:57.27	06:01.00	それとも何か、美味しければ、どこでもいいといった感じでしょうか？
カスタマー	06:02.27	06:04.94	えー、どうでしょうか。
カスタマー	06:06.27	06:16.17	晩御飯は、ホテルで食べることになるんですかね、郷土料理、多分、郷土料理がホテルでは、宿泊先で出てくる気がするんですが。
オペレータ	06:07.72	06:08.08	ええ。
オペレータ	06:13.53	06:13.74	ええ。
オペレータ	06:16.34	06:16.55	ええ。
カスタマー	06:17.29	06:26.95	となると、夜、食べるものとは別の何か、で、おすすめのものっていうのは何かありますでしょうか？
オペレータ	06:22.86	06:23.10	ええ。
オペレータ	06:27.12	06:27.28	はい。
オペレータ	06:27.80	06:34.35	では、お客様、こちらご一緒になさる、５名様、お酒は、おのみになりますか？
カスタマー	06:34.81	06:35.76	みんな、飲みます。
オペレータ	06:36.25	06:37.35	さようでございますか。
オペレータ	06:37.68	06:44.61	ではですね、お客様、金沢の、とても鮮度の良い、のどぐろなど、いかがでしょうか？
カスタマー	06:45.58	06:46.44	あの、魚。
オペレータ	06:46.90	06:47.76	さようでございます。
カスタマー	06:48.14	06:49.25	あいいと思います。
オペレータ	06:49.36	06:49.50	うん。
オペレータ	06:49.98	07:02.75	お酒と一緒に、こちら新鮮なお魚、お召し上がりになると、ま、お昼ではあるんですけれども、せっかくのお旅行ですので、はい、盛り上がっていいのではないかと思いまして。
カスタマー	07:03.20	07:03.47	はい。
オペレータ	07:04.42	07:04.48	はい。
オペレータ	07:04.72	07:13.24	こちら、お店の名前がですね、のどぐろ料理と北陸の地酒、せん、という、名前のお店になっております。
