text,label
はい、よろしくお願いしまーす。,1
よろしくお願い致します。,0
今日は、ご旅行のご相談ということでよろしいでしょうか。,0
そうですー。,1
ありがとうございます、どちらへご旅行なさいますか。,0
えーと、京都まで一人旅したいんですけどー。,1
左様でございますか、では京都でございますねー。,0
はい。,1
はい、で、お1人様のご旅行ということですね。,0
いつごろご旅行なさいますか。,0
えっとね、秋口なんですけど。,1
秋口でございますねー、かしこまりました。,0
では、こちら京都行かれてー、どういったことをお楽しみになりたいか、何かもうお考えですか。,0
えっとですね、市内はもうだいたい何度も行って、うん、行ってるんで、ちょっと離れたとことか行きたいなあと思ってんですけどー。,1
なるほど、では京都の奥深いところでよろしいですかね、お客様ではこちら、画面ご覧いただけますか。,0
はい。,1
はい、こちら上の方にタブが出ておりましてー、例えば、一番上の京都駅とかー、清水この辺はもう既にもう行かれたことがあるような。,0
そうですねー、はい。,1
例えば、どうでしょう、この亀岡あるいは、天橋立、丹後半島とか、宇治とか、どの辺が、はい。,0
大原にちょっと興味があるんですけどー。,1
えー、大原でございますね、じゃあこちらご覧ください、下賀茂、上賀茂、大原、この辺のエリアでよろしいですか。,0
はい。,1
はい。,0
お客様ご覧ください、とても美しい写真が並んでおりますねー。,0
はい、大原でどういったことなさいたいか何かございますか。,0
うーん、あんまりよく知らないんで、何をしたらいいかなってちょっと分からないんですけどー。,1
あ、なるほど、ではお客様いかがでしょう、この写真をご覧になりながら、あーここいいなみたいなのをおしゃっていただければご案内いたします、うん。,0
この詩仙堂の、このなんだろう竹、この小道がいいですね、こういうところ大好きなんですけどー。,1
なんだろう、これ、お寺、うーん。,1
お寺なんだけれどもー,0
庭園とかあるんですね。,1
そうですね、まあ、昔はこういうのも実はあるなおかつこちらお客様。,0
結構広いんですかね。,1
そうですね、広さについて特に書いてはいませんけど、ただ、お客様一番下の特徴条件ご覧いただけますか。,0
はい。,1
所要30分程度となっておりますので、まあそこまで。,0
あー、結構大きい、うーん。,1
そうですね、まあ小さくはないですよねー。,0
うーん、そうですね、女子におすすめって書いてある。,1
そうですね、女子おすすめとございます。,0
あー、えー。,1
しかもですね、お客様さらに隣ご覧ください。,0
はい、秋におすすめ。,1
はい、しかもさらに雨でもOKとございます。,0
あっは、あー、ちょっといいですねー。,1
ですので、ええ、あのー、ご旅行、そうですよね、結構早めに計画立てますと、天気とかって分からないじゃないですか。,0
うーん。,1
それを考えますと、雨でもOKというのは、すごく心強いですしー。,0
うーん、そうですねー。,1
はーい、あと。,0
できたらなんですけれどもー、こういうお寺でたまに座禅やってたりとかあるじゃないですか。,1
ええー。,0
そういうのがあったら、やってみたいなと思うんだけど。,1
なるほど、座禅体験でございますねー。,0
はい。,1
ではこちら座禅でちょっと絞ってみます、お待ちください。,0
はい。,1
座禅と入れてー、しかもこのー、一箇所写真がないんですけれどもー。,0
あー、大仙院。,1
大仙院さんでー、こちらお客様、説明のところをご覧いただけますか、座禅の体験や抹茶300円なっておりまして、ちょっとやっぱ写真がないと、どんなもんだろうっていうのが分からないんですけれどもー。,0
うーん、でもなんかいろいろできそうですね。,1
そうですね。,0
お茶とか。,1
はい、あとですねー、やはりあのー、こちらにも庭園があるようですね、特別名勝と書かれておりますのでー、やっぱりそれはなかなか素敵な場所でないと,0
うーん、まあ写真は後で自分で調べればわかるんで、一応候補にしといていいですか。,1
かしこまりました、じゃあこちら大仙院を候補になさるということで、かしこまりました。,0
これ、どの辺なんだろう、下賀茂。,1
はい、ではこちら地図、お客様、北王子というのがですねー、この東側にちょうどございますね。,0
はい。,1
で、この、ひ、えー北王子からですと、えーこちら書いてありますのが、徒歩15分の距離ということですね。,0
あー。,1
で、市内からそんなに遠くないってことかな。,1
そうですね、お客様さきほどおっしゃられておりましたー、まああの、京都市内は結構もう行かれているということなんですけれども、まあ、そうするとこちらの、まだでしたらちょうどいい機会になるかもしれませんので、ええ。,0
そうですね、この座禅もできますし、あとやはりこちらもお客様ご覧ください、女子におすすめでございます、ええ、あと雨でもOKとございますので、先ほどの詩仙堂ではなくてー、ええー、では大仙院には一箇所、ということでよろしいでしょうか。,0
あ、はい。,1
はい、ありがとうございます。,0
では、お客様。,0
ここで結構時間潰せそうなんでー、この周りになんかどんなものがあるか知りたいんですけどー。,1
ではお近くでお調べ致しますね。,0
はい、ではこちら半径5キロ以内ということで、今、情報をお出しいたします。,0
はい。,1
お客様どうでしょう、この一番,0
あー、結構ありますね。,1
ちょっとこの2番目とかなんかあのー、そんなに私は、そうですよね、僕も今そう思いました。,0
これ、お墓、あっはっは,1
ちょっとこれにわざわざ行きたいとは思わないかなー。,0
ちょっと観光スポットって感じじゃないですね。,1
あ、お客様、3番目、なんか犬のようなものが出てきました。,0
いや、なんで犬が出てくるんだろう。,1
なんでしょう、ちょっとこれご覧になりますか。,0
はーい。,1
こちらですねー、なんでしょう、安産マスコットの親子犬ということで、まあなんかそんなにこう何か由来があるというわけじゃない,0
じゃあスルーで行きましょう。,0
うーん、はい。,1
では、次のお寺今度は。,0
天満宮。,1
そうですね、錦天満宮、ちょっとなんかスケールとしてあんまりうーんそうなんですよねー。,0
うーん、わざわざ行くほどでも、うーん。,1
あ、お客様、有名なものが出てきました。,0
あ、本能寺だ。,1
本能寺。,0
あー、い、さっきのとこから近いんですかね。,1
はい、半径5キロ以内となっておりましてー、こちら地図をご覧になりますか。,0
はい。,1
そうですね、まあ北王子がこちらの、今ちょっと上の方になってー、まあこの右下にこの本能寺あるので、まあただ地下鉄では一本で行けますのでー、アクセス自体は、例えば雨が降っていたりしても簡単にいけるような場所ではありますね。,0
えー、まあ一度行ってみたいと思ってたんで。,1
そうですね、あの、話のネタにはなるような場所かなとは思います。,0
うーん。,1
で、こちらなんですけれども、こちらは所要30分から60分くらいで、やっぱりこっちも雨でもOKとなってますのでー、まああのー、なんていうんしょう、秋はそんなに雨が降らないかもしれませんけれどもー、先ほどのところとあわせて、まあ、どんな天候になっても心配なく、ご旅行できるという点ではいいかなというふうに思います。,0
うーん、そうですね、うーん。,1
それかもっとほかのところ見てみますか。,0
あ、いいですか、見てみたいです。,1
はい、もちろんです。,0
あ、この三条通、新京極通。,0
うーん、これお土産買うとこですよね、うーん。,1
あと、こちら。,0
その下の先斗町っていうのが興味あるんですけどー。,1
あ、こちら先斗町ちょっと開いてみますねー。,0
こちら、歓楽街というふうに説明がございます。,0
うーんまあ、遊ぶとこはー、女性にはないかもしんないけどー、有名だからちょっと見てみたいので。,1
ええー、そうですねえ、この、こちらご覧いただけますか、夜にはしっとりとしたムードが漂い風情たっぷりとありますので、しかも鴨川沿いにあるようですのでー、もしかすると夜ちょっとこの辺歩いてみる,0
あー、夜行ったほうがいいんですか、そしたら。,1
ええー、ですのでー、例えばこの先斗町を夜一つキープしておいてー、で、先ほどの大仙院以外にもう一箇所選んでみるというのはいかがでしょうか。,0
あー、そうですねー、うーん。,1
ご予算的にもちょうどいいかなというふうに思います、じゃあこちら先斗町一件キープしておきますね。,0
はい、ではほかの観光場所なんですが、少々お待ちくださいねー、次のページもご覧いただきます。,0
お客様、こちらご覧ください、見つかったスポット数,0
あ、すごーい、ちょっと大変ですね選ぶのが、うーん。,1
どんどん見ていきましょう。,0
はい。,1
はい、えー、こちら同時代ギャラリー、なんかちょっと建物は古い感じですね、美術館のような、まあ位置づけでしょうか。,0
あー。,1
ちょっとこういう感じではないですか。,0
うーん、ちょっとあんまり見て回ると疲れちゃうんでうーん。,1
劇場もちょっと違うあんまりこう歩かなくていいような場所もやっぱりあったほうがいいですかね。,0
そうですねー、なんかのんびり散策するとかそういうほうが、好きなんですけどー。,1
なるほど、では、少々お待ちいただけますか。,0
では、こちら、えー、見るに絞ってですねー、お客様こちらご覧いただけますか。,0
自然、社寺、教会、建物、史跡、動物園、公園、美術館、博物館、その他っていうふうにカテゴリーございましてー。,0
あー、どれだろう、建物、史跡かなあ。,1
建物、史跡、ちょっとこれで絞ってみますね。,0
なんかちょっと、こういうビル、まあ、せんきゅーひゃ、1928なんで、1928年できたとか、そういうことではないですよねー。,0
あー、うーん、なんだろう。,1
うーん、違いますよね、で、先斗町、ええ。,0
まあこれは、よ、た、ただ単に建物が古いってことですよね。,1
そうですよね、これー見たところで、まあ一応ビルのなかにカフェとかギャラリーがあるということで、こちら説明によりますと、まあ1928年にできましたということでー、昔大阪毎日新聞社の京都支局があったビルですと。,0
あー。,1
ただ、あの普通の人にとって、まあ、それだからなんなんだっていう話ですよね。,0
うーん。,1
なのでちょっとここはスルーですよねー、,0
そうですねー、うーん。,1
うーん、どうでしょうねえ、こちら先ほど先斗町までご覧いただいて、まあビルうーん。,0
カテゴリーを変えたほうがいいですか。,0
それか、こういう昔の住宅。,0
あー。,1
なんか違いますか。,0
これ、なか見ら、見られるのかな。,1
なかですか少々お待ちください。,0
外から見るだけかな。,1
えー、こちらですねー、見学は要予約っていうふうに書いてありますので、まあなかは見れるということだと思うんですね。,0
あー、なるほどー、うーん。,1
で、えー、一時間程度のご案内となっている。,0
うーん。,1
ですねー、まあ数寄屋造りというふうにあるんで江戸時代の建物ということで、大名のお宿でございますね、大名,0
あー、うーん。,1
どうですかね、こういったもの。,0
まあ特にはそうですね。,1
お客様、次の方ですね、やっぱ写真がある方が、お客様、ご覧にいただきやすいですか。,0
あ、どっちでもいいですよ。,1
どっちてもいいですか、はい。,0
そうですね、写真載っていない,0
あ、一条戻橋、有名ですよね。,1
そうですね、有名なスポット、こちら地図で表すとこのようになりますけれどもー。,0
あー、でもわざわざ見に行くほどじゃないですよね、うーん。,1
お客様、こちらはいかがですか、京都御所。,0
あー、京都御所。,1
これは、京都御所は、やはりあの、京都御所なので京都にしかございませんし。,0
な、何があるんだろう、建物だけ。,1
あ、京都御所はですねえ。,0
そうですね、まああの、皇居の京都版ということで、はい。,0
まああのー、宮内庁の方で、この音声案内のアプリもあるようなので、まあそれを聞きながらー、御所のなかを見るという,0
あー、うーん。,1
どっちかって言うと、こういうのよりは、街歩きを楽しむとか、そういうほうがいいかな。,1
街歩き。,0
あ、なるほどー。,0
うーん、なんか古い町並みが残ってるとことかあるじゃないですか。,1
ええー、ええー、ええー、そうですねー、では例えば。,0
少々お待ちくださいねー。,0
はい。,1
おそらくこの、繁華街ではないにしても、あと街並み、散歩道っていうところで、ええ、ちょっと絞ってみますのでお待ちください。,0
こういう華やかなところではなくてー。,0
うーん、もうローカルなところ、うーん。,1
ローカルなところ、そうしますとー、そうですね、こちらまあ遊歩道ということでー、まあ古い建物っていう感じではないんですけどー、まああの、川沿いですね、こちら鴨川沿いにー、まあベンチとかがあって座ってのんびりできる、まあ地元の人から親しまれているとあるので、まあローカルのある場所かなあという風に思います。,0
うーん、あー。,1
まあそういうところでもいいですね、休憩がてら、うーん。,1
そうですね、ではあのー、大仙院と先斗町の間にこのなからぎの道を挟むという形にすると、どのみちあのー、急ぐこともなくですねー、ごゆっくり観光をお楽しみいただける,0
そうそうそうそう、うーん。,1
はい、お客様のこのアイデアとてもあの素敵かな思いますので、もしよろしければこの三件まず、えー、リストの方にまとめてよろしいですか。,0
はい、はい。,1
そうなりますと、あとはまあ気になるのはー、お食事だとかー、あとまあ、お食事をするかは、ちょっとまあ京都なのでー、まあお茶系のものを楽しむとか、どうしますかね。,0
でも、さっきのお寺で、お茶をやって、お茶やってるってありましたよねだからなんかなんか適当にランチみたいな、うーん,1
ええええー、少々お待ちいただけますか、はい。,0
ではランチをお召し上がりいただける場所なんですが。,0
まあお店じゃなくても、どこら辺にそういう手ごろな店がかたまってるとか、そういうのでいいんですけど。,1
ではー、例えば、こういう茶屋ではないですよね、まあ一応料理は、そうですね、しっかり感は、あ、こういう、どうでしょう、洋食、ハンバーグ。,0
うーん。,1
あるいはこういう、ちょっとおしゃれなフランス料理、お手軽なカジュアルフレンチのような。,0
あーなんかでも京都に行ってフレンチっていうのもなんか定食みたいなのでいいです。,1
あ、ほんとですか、そうしますと、こちらあのー、華祥さんなんていうのは、まあ中華のようなお店ですけれどもー。,0
あー、まあいいですねー、手ごろな店って感じで。,1
それか、こちらご予算の方ちょっと確認してみますねー、こちらですけれども、あ、やはり昼食ですと千円以下となっておりますのでー、ええ。,0
こちらですねー、夕ご飯でも三千円以内ですね。,0
えー、手ごろの店があるんですねー。,1
お手頃ですね、しかもこちらご覧ください、全国の中国料理の名店で腕を振るってきた田口茂雄シェフによる行列必至の人気店だそうです、全然手頃ではなかった困りますよね。,0
えっへ入れないとかあるのかしら、うーん。,1
まあ、そのような場合はお客様にこちらのお電話番号をお控えいただいておいて、予約をなさっておくのが無難かなあと思います、まあ、わざわざここに行く必要もなくててですね、他にお客様、こういうなんていうんでしょう、カレーライスとか。,0
あと、ラーメンとか,0
うーん、まあ、どこらへんなんだろう。,1
あ、こちらですね、じゃあ地図をご覧になりますか。,0
まあ、そういうエリアってありますよね、安く食べられるとことか。,1
そうですね、こちら、あー、なるほど、こちらですねー、個別のお店の情報がメインとなっておりましてー、そうなんですよー、そういったエリアが分かったほうが便利ですよね。,0
あー、そっかそっか、うーん、そうですよねー。,1
ちょっとそれがですねー、ちょっと申し訳ないんですけれどもー、ご案内が難しくてですねー、もしよろしければ一応このどうでしょう、華祥さん、まず一軒と、あともう一軒、一応お昼のお店をお調べしておくということでどうですか。,0
はい、はい、いいです。,1
では、これ一応、中華選びましたのでー、ほかに何か別のジャンルがいいですよねー。,0
うーん、やっぱり和食ですかね。,1
和食ですか、少々お待ちください、あ、こういうお蕎麦とか、お蕎麦、あと、下のハンバーグは、でも京都まで行ってハンバーグだって話ですよね、申し訳ございません、えー。,0
うーん。,1
それとかー、あとー、ちょっとこれはガッツリすぎですかねー。,0
えー、うーん。,1
そうですよねー、18はちょっと豪華すぎますしー。,0
あー、でも、ちなみにここどれぐらいなんですか。,1
お値段ですか。,0
うーん。,1
ええ、こちらはですねー、夜の、お昼ですとー、6050円から。,0
あー、ちょっとこれはトゥーマッチって感じですね,1
ちょっとそうですね、ちょっとやめておきますか。,0
うーん、ちょっと高級すぎ。,1
