text,label
ありがとうございます。,1
今日はよろしくお願いしまーす。,0
お願いします。,1
えーと、今回またあの旅行の相談ということでしょうか？,0
はい。,1
はい、かしこまりました。,0
では、えーともうどこに行きたいとかって決まってますか？,0
はい。,1
はい。,0
えーとどちらですか？,0
北海道の利尻島です。,1
ほ、北海道の利尻島ですね。,0
はい。,1
少々お待ちくださいね。,0
はい、えーと、じゃあいつ頃行くのかな北海道。,0
えーと秋です。,1
秋に行くんですね。,0
はーい、かしこまりました。,0
こちらはえーと何人ぐらいで行くのかな？,0
五人です。,1
五人で、はーい。,0
ご家族で行く感じかな？,0
はい。,1
そうなんですね。,0
じゃあえーと利尻島ですね、ちょっと待ってね。,0
はい。,1
えーとじゃあ利尻島に行きたいってことなんですけど、どうして行きたいのかな、何かこういうことやってみたいとかってあるんですか？,0
えーと、この前絵本で読んだんですけど。,1
はいはいはいはい。,0
だけど、何があるかは分からないので、ちょっとそこから説明してくれたらとても嬉しいです。,1
あ、なるほどなるほど、何か本で見て、利尻島って場所を知って、行きたくなったってことかな？,0
はい。,1
あ、そうなんだね。,0
えーと、そうだな例えばなんかこう何か自然のスポットとかを見たいとか、なんか歴史的なやつだったりとかどういうのが、なんか興味あるのかな？,0
えーっと、うーん、自然の、はい。,1
あ、せ、絶滅危惧種のやつを写真撮ってみたい。,1
はいはい、あぁーなるほど。,0
じゃあちょっとまぁかなりその自然スポットって感じだよね。,0
利尻島、絶滅危惧種がいる場所をじゃあちょっと調べてみるので、ちょっとお待ちください。,0
はい。,1
利尻島。,0
ん－っと、絶滅危惧種っていうのはなんかどういう動物ですかちなみに？,0
えーと何も分かりません。,1
何も分からない。,0
利尻島のことが何一つ分かりません。,1
なるほど、何かそういう場所があるってどっかで聞いたんですか？,0
何か本に書いてあるとか。,0
いやーっと、えーと、飛行機が好きで、飛行機の本を読んでて利尻空港が出てきてそれで行きたいなと思った訳です。,1
あぁーなるほどなるほど。,0
なので何一つ分かりません。,1
なるほど。,0
オッケーです。,0
じゃあちょっととりあえず利尻島の綺麗な自然スポットをまず、じゃあ調べてみましょうか。,0
はい、お願いします。,1
利尻島がなかなか出てこないな。,0
ちょっと待ってね。,0
あ、あった。,0
そうだね、まぁ結構いくつか絶滅危惧種がいるかどうかは分からないんだけど、何かこういう、どうか、海岸沿いのなんか場所だったりとか、あと今、沼を緑に囲まれた沼みたいな場所だったりとか、がまぁ出てきてるんだけど、あとはまぁ山かな。,0
こう利尻山っていう山があったり。,0
なんかそういう、あと湿原、こうなんだろうまぁ、み、草むらというかこう、いっぱい植物がある場所とかが出てきてて、そういうとこだったらどういう場所がいい？,0
なんか沼というかその。,0
いやーあの海岸沿いがいいです。,1
海岸沿いがいい？,0
はい。,1
じゃあ海岸沿いでいくつか見てみると、えーとまず一つ目が、えー人面岩、江熊の岩っていう場所があって、これがですね、利尻島のえー西の海岸にある変わった形をした岩があるみたいで、これがで、えー人間の横顔のように見える人面岩にえーとまるで熊が寝そべっているような寝熊の岩っていうちょっとなんだろうその岩がこう名物というか観光スポットして何かあるみたいなんだけど、あんまこういうの興味ないかな？,0
いや、結構あります。,1
あ、興味ある。,0
はい。,1
こちらがですね。,0
あ、一つ質問していいですか？,1
あ、はいはいはい。,0
えーと、も、あ、町ってあるんですか？,1
町？,0
利尻町ってあるん、利尻島に町ってあるんですか？,1
利尻島の町はですねちょっと地図で見る感じだと、いや、一応ね、利尻、利尻町っていう町がねあって、かなり凄い小っちゃい所だけど、利尻町って言うのと、あとね、あ、利尻富士理町っていう二つの一応町が利尻島の中にあって、全部海岸沿いに二つ町があって、真ん中辺りはなんか国立公園って言ってまぁなんか自然が保護されたような場所があって、もうほんとその三つしかないちっちゃい島だね利尻島は。,0
えーと、えとあの山に近い町ってどっちなんですか？,1
あぁでもどっちも多分同じぐらいの距離かな。,0
あぁーあの空港から近い町はどっちですか？,1
あ、空港から近いのは、あ、えーとね、利尻富士町っていう所。,0
えぇーじゃあ、そこ行ってみたいです。,1
利尻富士町。,0
はい。,1
はーい、利尻富士町でなんかどういうことしてみたいかな？,0
利尻富士町だと。,0
利尻島とか北海道の名物の食べ物を食べたり、したいです。,1
なるほど、食べ物ね。,0
あと、伝統工芸とか、資料館があるなら行ってみたいです。,1
なるほどなるほど。,0
あ、ちょっと話戻るけど、さっき話してたその人面岩も一応メモしておきますか行く場所リスト。,0
はい、あ、人面岩に近いのってどっちの町なんですか？,1
人面岩に近いのは、あ、人面岩に近いのね、利尻町の方。,0
はぁー。,1
空港から遠い方。,0
うーん。,1
で。,0
あ、面積が大きい町は？,1
面積どっちも同じぐらいかな、どっちも小さいから。,0
うぅー。,1
あんま変わんなくて、うーん。,0
あの、め、あの港ってあるんですか利尻島には。,1
うん、港は、港はありますね、うん多分、あんのかな。,0
港まで、港町って利尻富士町か利尻町かどっちになるんですか、利尻、利尻、あ、どっちになるんですか？,1
えぇーと、港、ちょっと待って。,0
あ、港がでてないちょっと待って。,0
うん、あ、港はね、利尻富士理町の方が近いのかな。,0
あじゃぁそっちで、その利尻富士理町とえーと利尻港と、あと人面岩と、の三つを行く所に所に取り敢えず決めます。,1
はい。,0
はい、じゃあとりあえず利尻富士理町の近くでご飯屋さんとか、探そうか。,0
あ、きょう、あ、利尻島のきょうどりょ、郷土料理をあの、食べ、うん、あのー食べたいのでお願いします。,1
はい。,0
えーと、利尻島の郷土料理ちょっと調べてみるので、ちょっと待ってください。,0
はい。,1
利尻島の郷土料理ちょっと待ってね。,0
お。,0
えーとちょっと。,0
