text,label
こんにちは。,1
よろしくおね…。こんにちは。,0
よろしくお願いします。,1
はい。よろしくお願いいたします。,0
では、えーと、この度は、えーと、ご旅行の相談ということで、お間違いないでしょうか。,0
はい。はい。,1
はい。かしこまりました。,0
では、えーと、お客さま、えーと、もう行きたい県とか地方だったりとかって、もう決まってらっしゃいますか。,0
なんか、福岡のほうに行ってみたいなあと思っているんですけど。,1
あ、福岡のほうですね。はい。,0
はい。,1
かしこまりました。ちなみに、なんか季節とか、いつ頃行きたいとかっていうの、もう決まってるんですか。,0
あ、冬かな。冬。来年の冬、あ、今年か。今年の冬に行ってみたいなあと思ってるんですけど。,1
はい、かしこまりま…。今年の冬に福岡県ですね。,0
はい。,1
ちなみに何名さまで、どういった方と行かれますか。,0
えと、その、恋人と。,1
はい。,0
2人で行こうかなと思っているんですけど。,1
あ、はい。かしこまりました。パートナーさまと2人で行かれるということですね。,0
はい。では、えーと、福岡で、えー、どんなもの見てみたいとか、なんか食べてみたいものですとか、やってみたいことですとか、何か、えーと、お客さまのほうでアイデアとかはございますか。,0
なんか、か、温泉に行きたいかなと思ってるんですけど。,1
はい。,0
あと、あんま、他、あんまり福岡って何があるのか知らなくて。,1
うんうん。ええ、ええ、ええ。なるほど。じゃあ、取りあえず福岡の温泉地で、お調べをしてもよろしいでしょうか。,0
はい。えーと、今、画面も見えてらっしゃると思うんですけど。,0
はい。見えてます。,1
今、見つかったスポットとしては45件。結構いっぱいあります。,0
えーと、どうでしょう？なんか、どういう雰囲気の場所に行ってみたいとかって、ございます？,0
なんか、いろいろあって面白いですね。,1
そうですね。じゃあ、ちょっと、い、上から、なんか、スクロールしてみますか。,0
あ、お願いします。,1
はい。じゃ、ちょっと所々、なんか。,0
はい。,1
写真がないのとかもあるんですけど、一応、その、詳しい内容とかは恐らく書いてあると思うんで、なんか気になったら、たり、名前で引っ掛かったりしたら言ってください。,0
今の、その、あ…。,1
はい？,0
博多の森って、その、今、下にあった源泉。それ、と…。,1
あ、博多の森。,0
それ、なんか、いや、面白い壁だなと思って。,1
あ、そうですね。こちら、なんか、こういう、何ていうんですかね。,0
